Site,Region,Year,yr,month,n_samples,As,Be,Cd,Cr,Mn,Ni,Pb,log_As,log_Be,log_Cd,log_Cr,log_Mn,log_Ni,log_Pb,Region_row_state
Bakersfld,Valley,85,85,1,6,3.333333333,0.25,0.5,,,,,0.522878745,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.08333333,85,2,4,2,0.25,0.5,,,,,0.301029996,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.16666667,85,3,5,2,0.25,0.5,,,,,0.301029996,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.25,85,4,5,4,0.25,0.9,,,,,0.602059991,-0.602059991,-0.045757491,,,,,5120
Bakersfld,Valley,85.33333333,85,5,4,1.5,0.25,1,,,,,0.176091259,-0.602059991,0,,,,,5120
Bakersfld,Valley,85.41666667,85,6,3,1,0.25,0.5,,,,,0,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.5,85,7,5,,,,5.2,42.8,14.6,93.2,,,,0.716003344,1.631443769,1.164352856,1.969415912,5120
Bakersfld,Valley,85.58333333,85,8,5,1.775,0.0375,0.575,6.2,51,14.6,100.4,0.249198357,-1.425968732,-0.240332155,0.792391689,1.707570176,1.164352856,2.001733713,5120
Bakersfld,Valley,85.66666667,85,9,5,2.533333333,0.03,2.766666667,6,50,15.6,130,0.403692338,-1.522878745,0.441956838,0.77815125,1.698970004,1.193124598,2.113943352,5120
Bakersfld,Valley,85.75,85,10,5,4.85,0.075,0.5,6.8,60.8,22,228.4,0.685741739,-1.124938737,-0.301029996,0.832508913,1.783903579,1.342422681,2.3586961,5120
Bakersfld,Valley,85.83333333,85,11,6,3.95,0.035,0.2,4.6,36.6,40.4,259.6,0.596597096,-1.455931956,-0.698970004,0.662757832,1.563481085,1.606381365,2.414304688,5120
Bakersfld,Valley,85.91666667,85,12,5,6.1,0.012,0.78,2.75,16,40.25,186.25,0.785329835,-1.920818754,-0.107905397,0.439332694,1.204119983,1.604765885,2.270096281,5120
Bakersfld,Valley,86,86,1,4,2.875,0.01,0.4,2.375,28.5,50.25,285.5,0.458637849,-2,-0.397940009,0.375663614,1.45484486,1.701136066,2.455606113,5120
Bakersfld,Valley,86.08333333,86,2,5,1.925,0.02,0.8,2.4,23.2,32,107.4,0.284430734,-1.698970004,-0.096910013,0.380211242,1.365487985,1.505149978,2.031004281,5120
Bakersfld,Valley,86.16666667,86,3,5,2,0.0275,0.625,3.4,27.8,19,103.8,0.301029996,-1.560667306,-0.204119983,0.531478917,1.444044796,1.278753601,2.016197354,5120
Bakersfld,Valley,86.25,86,4,6,1.5,0.04,0.3,3.6,34.6,16.8,81.6,0.176091259,-1.397940009,-0.522878745,0.556302501,1.539076099,1.225309282,1.911690159,5120
Bakersfld,Valley,86.33333333,86,5,5,2.08,0.048,0.46,6,54.8,13.2,60.6,0.318063335,-1.318758763,-0.337242168,0.77815125,1.738780558,1.120573931,1.782472624,5120
Bakersfld,Valley,86.41666667,86,6,6,1.76,0.036,0.14,6.5,50.75,14,56.5,0.245512668,-1.443697499,-0.853871964,0.812913357,1.705436047,1.146128036,1.752048448,5120
Bakersfld,Valley,86.5,86,7,6,2.06,0.042,0.76,4.333333333,45.66666667,14,54.5,0.31386722,-1.37675071,-0.119186408,0.636822098,1.659599312,1.146128036,1.736396502,5120
Bakersfld,Valley,86.58333333,86,8,7,2.16,0.038,0.5,7.25,59.75,14.25,68,0.334453751,-1.420216403,-0.301029996,0.860338007,1.77633791,1.153814864,1.832508913,5120
Bakersfld,Valley,86.66666667,86,9,6,1.32,0.038,0.44,5.2,45.4,15.6,68.6,0.120573931,-1.420216403,-0.356547324,0.716003344,1.657055853,1.193124598,1.836324116,5120
Bakersfld,Valley,86.75,86,10,5,2,0.044,0.8,7,57.4,14.4,127.4,0.301029996,-1.356547324,-0.096910013,0.84509804,1.758911892,1.158362492,2.105169428,5120
Bakersfld,Valley,86.83333333,86,11,6,3.9,0.04,0.76,8.4,68.6,28.2,176.8,0.591064607,-1.397940009,-0.119186408,0.924279286,1.836324116,1.450249108,2.247482261,5120
Bakersfld,Valley,86.91666667,86,12,5,4.06,0.004,0.9,2.8,22.2,34.4,102.2,0.608526034,-2.397940009,-0.045757491,0.447158031,1.346352974,1.536558443,2.009450896,5120
Bakersfld,Valley,87,87,1,6,3.98,0.014,0.6,4,35,44.4,114.6,0.599883072,-1.853871964,-0.22184875,0.602059991,1.544068044,1.64738297,2.059184618,5120
Bakersfld,Valley,87.08333333,87,2,5,2.3,0.01,0.45,3,21.2,29.8,65.8,0.361727836,-2,-0.346787486,0.477121255,1.326335861,1.474216264,1.818225894,5120
Bakersfld,Valley,87.16666667,87,3,5,1.733333333,0.006666667,1.066666667,6,52,9.333333333,51.33333333,0.238882089,-2.176091259,0.028028724,0.77815125,1.716003344,0.970036777,1.710399466,5120
Bakersfld,Valley,87.25,87,4,5,2.32,0.034,0.28,9,91.5,38.5,93,0.365487985,-1.468521083,-0.552841969,0.954242509,1.961421094,1.58546073,1.968482949,5120
Bakersfld,Valley,87.33333333,87,5,5,1.66,0.026,0.28,9,72.5,15.5,60.5,0.220108088,-1.585026652,-0.552841969,0.954242509,1.860338007,1.190331698,1.781755375,5120
Bakersfld,Valley,87.41666667,87,6,5,2.22,0.038,0.28,4.5,51.5,12,38.5,0.346352974,-1.420216403,-0.552841969,0.653212514,1.711807229,1.079181246,1.58546073,5120
Bakersfld,Valley,87.5,87,7,5,1.68,0.038,0.1,4.333333333,53.66666667,7,47,0.225309282,-1.420216403,-1,0.636822098,1.729704621,0.84509804,1.672097858,5120
Bakersfld,Valley,87.58333333,87,8,6,2.45,0.05,0.3,6,67.33333333,15.33333333,48.66666667,0.389166084,-1.301029996,-0.522878745,0.77815125,1.828230115,1.185636577,1.687231601,5120
Bakersfld,Valley,87.66666667,87,9,6,3.34,0.042,0.42,4,41,7,26,0.523746467,-1.37675071,-0.37675071,0.602059991,1.612783857,0.84509804,1.414973348,5120
Bakersfld,Valley,87.75,87,10,8,3.25,0.0325,0.65,3.5,30.25,4.75,44.75,0.511883361,-1.488116639,-0.187086643,0.544068044,1.480725379,0.67669361,1.65079304,5120
Bakersfld,Valley,87.83333333,87,11,9,3.566666667,0.013333333,0.766666667,3,32.66666667,15,129.3333333,0.552262523,-1.875061263,-0.115393419,0.477121255,1.514104821,1.176091259,2.111710471,5120
Bakersfld,Valley,87.91666667,87,12,5,,,,3.5,29.4,12.6,73.4,,,,0.544068044,1.46834733,1.100370545,1.86569606,5120
Bakersfld,Valley,88,88,1,5,3.3,0.03,0.9,2.875,26.75,42,76,0.51851394,-1.522878745,-0.045757491,0.458637849,1.427323786,1.62324929,1.880813592,5120
Bakersfld,Valley,88.08333333,88,2,5,2.9,0.02,0.5,7.5,42,23.75,80.75,0.462397998,-1.698970004,-0.301029996,0.875061263,1.62324929,1.375663614,1.907142531,5120
Bakersfld,Valley,88.16666667,88,3,6,1.7,0.03,0.8,3.4,36.4,9,32.4,0.230448921,-1.522878745,-0.096910013,0.531478917,1.561101384,0.954242509,1.51054501,5120
Bakersfld,Valley,88.25,88,4,5,1.7,0.03,1.2,3.25,30.5,8.25,24.25,0.230448921,-1.522878745,0.079181246,0.511883361,1.484299839,0.916453949,1.384711743,5120
Bakersfld,Valley,88.33333333,88,5,6,1.5,0.03,0.7,3.3,31.2,6.2,31.8,0.176091259,-1.522878745,-0.15490196,0.51851394,1.494154594,0.792391689,1.50242712,5120
Bakersfld,Valley,88.41666667,88,6,6,1.5,0.03,0.5,3.2,33.4,5.2,24,0.176091259,-1.522878745,-0.301029996,0.505149978,1.523746467,0.716003344,1.380211242,5120
Bakersfld,Valley,88.5,88,7,6,1.9,0.03,0.3,3.4,33.8,4.8,24.4,0.278753601,-1.522878745,-0.522878745,0.531478917,1.5289167,0.681241237,1.387389826,5120
Bakersfld,Valley,88.58333333,88,8,7,1.9,0.04,0.3,4.666666667,46,5.666666667,27.66666667,0.278753601,-1.397940009,-0.522878745,0.669006781,1.662757832,0.753327667,1.441956838,5120
Bakersfld,Valley,88.66666667,88,9,5,2.9,0.06,0.4,6,60,6,32.25,0.462397998,-1.22184875,-0.397940009,0.77815125,1.77815125,0.77815125,1.508529719,5120
Bakersfld,Valley,88.75,88,10,6,2.4,0.04,0.4,3.6,36.6,6.8,31.4,0.380211242,-1.397940009,-0.397940009,0.556302501,1.563481085,0.832508913,1.496929648,5120
Bakersfld,Valley,88.83333333,88,11,6,2.6,0.02,0.5,2.2,20.8,6.6,33.6,0.414973348,-1.698970004,-0.301029996,0.342422681,1.318063335,0.819543936,1.526339277,5120
Bakersfld,Valley,88.91666667,88,12,6,1.5,0.02,0.7,1.8,15.8,14.8,37.8,0.176091259,-1.698970004,-0.15490196,0.255272505,1.198657087,1.170261715,1.5774918,5120
Bakersfld,Valley,89,89,1,5,3.6,0,1.3,4,24,22.5,62.25,0.556302501,,0.113943352,0.602059991,1.380211242,1.352182518,1.794139356,5120
Bakersfld,Valley,89.08333333,89,2,6,1.5,0.02,0.4,3,23.2,7.8,61.4,0.176091259,-1.698970004,-0.397940009,0.477121255,1.365487985,0.892094603,1.788168371,5120
Bakersfld,Valley,89.16666667,89,3,6,0.9,0.02,0.2,3.4,33.2,7,32.4,-0.045757491,-1.698970004,-0.698970004,0.531478917,1.521138084,0.84509804,1.51054501,5120
Bakersfld,Valley,89.25,89,4,6,1.4,0.03,0.2,2.5,28.8,4.4,21.2,0.146128036,-1.522878745,-0.698970004,0.397940009,1.459392488,0.643452676,1.326335861,5120
Bakersfld,Valley,89.33333333,89,5,6,1.8,0.04,0.4,3.9,31.8,3.6,17.2,0.255272505,-1.397940009,-0.397940009,0.591064607,1.50242712,0.556302501,1.235528447,5120
Bakersfld,Valley,89.41666667,89,6,6,1.9,0.05,0.4,3.4,34.2,4.4,15.4,0.278753601,-1.301029996,-0.397940009,0.531478917,1.534026106,0.643452676,1.187520721,5120
Bakersfld,Valley,89.5,89,7,6,2.1,0.05,0.4,3.8,37.6,4.4,23.6,0.322219295,-1.301029996,-0.397940009,0.579783597,1.575187845,0.643452676,1.372912003,5120
Bakersfld,Valley,89.58333333,89,8,6,1.8,0.04,0.4,4.6,40.4,5,24.4,0.255272505,-1.397940009,-0.397940009,0.662757832,1.606381365,0.698970004,1.387389826,5120
Bakersfld,Valley,89.66666667,89,9,5,2,0.04,0.4,4.8,48.8,5.8,33.2,0.301029996,-1.397940009,-0.397940009,0.681241237,1.688419822,0.763427994,1.521138084,5120
Bakersfld,Valley,89.75,89,10,6,3,0.04,0.5,3.833333333,41.33333333,3.5,34.66666667,0.477121255,-1.397940009,-0.301029996,0.583576586,1.61630043,0.544068044,1.539912085,5120
Bakersfld,Valley,89.83333333,89,11,6,4.8,0.05,0.1,5.6,60,12.8,47.8,0.681241237,-1.301029996,-1,0.748188027,1.77815125,1.10720997,1.679427897,5120
Bakersfld,Valley,89.91666667,89,12,6,5.7,0.06,0.1,3.2,39.2,13.4,45.4,0.755874856,-1.22184875,-1,0.505149978,1.593286067,1.127104798,1.657055853,5120
Bakersfld,Valley,90,90,1,5,3.2,0.03,0.75,2.375,30,12,46,0.505149978,-1.522878745,-0.124938737,0.375663614,1.477121255,1.079181246,1.662757832,5120
Bakersfld,Valley,90.08333333,90,2,3,2.5,0.036666667,0.333333333,3.666666667,54,8.666666667,45.66666667,0.397940009,-1.43572857,-0.477121255,0.56427143,1.73239376,0.937852093,1.659599312,5120
Bakersfld,Valley,90.16666667,90,3,2,1.4,0.035,0.15,2.5,27,4.5,24,0.146128036,-1.455931956,-0.823908741,0.397940009,1.431363764,0.653212514,1.380211242,5120
Bakersfld,Valley,90.25,90,4,4,1.45,0.04,0.45,3,27.33333333,4,14.33333333,0.161368002,-1.397940009,-0.346787486,0.477121255,1.436692598,0.602059991,1.156347201,5120
Bakersfld,Valley,90.33333333,90,5,3,2.333333333,0.07,0.333333333,7,62.5,6,22.5,0.367976785,-1.15490196,-0.477121255,0.84509804,1.795880017,0.77815125,1.352182518,5120
Bakersfld,Valley,90.41666667,90,6,4,1.566666667,0.046666667,0.1,6,39.66666667,5.333333333,23,0.194976603,-1.330993219,-1,0.77815125,1.598425707,0.726998728,1.361727836,5120
Bakersfld,Valley,90.5,90,7,2,2,0.055,0.1,5,47.5,5.5,20.5,0.301029996,-1.259637311,-1,0.698970004,1.67669361,0.740362689,1.311753861,5120
Bakersfld,Valley,90.58333333,90,8,3,2,0.07,0.2,7,66,5,40,0.301029996,-1.15490196,-0.698970004,0.84509804,1.819543936,0.698970004,1.602059991,5120
Bakersfld,Valley,90.66666667,90,9,3,2.8,0.08,0.1,8.666666667,77,6,36.33333333,0.447158031,-1.096910013,-1,0.937852093,1.886490725,0.77815125,1.560305243,5120
Bakersfld,Valley,90.75,90,10,4,3.033333333,0.063333333,0.3,7.5,79.25,7.5,47.25,0.481920138,-1.198367654,-0.522878745,0.875061263,1.898999271,0.875061263,1.674401813,5120
Bakersfld,Valley,90.83333333,90,11,3,3.85,0.05,0.5,10.5,107.5,7,58,0.58546073,-1.301029996,-0.301029996,1.021189299,2.031408464,0.84509804,1.763427994,5120
Bakersfld,Valley,90.91666667,90,12,3,4,0.033333333,0.8,3.666666667,50.33333333,7.666666667,57.66666667,0.602059991,-1.477121255,-0.096910013,0.56427143,1.701855693,0.884606581,1.760924848,5120
Bakersfld,Valley,91,91,1,5,1.75,0.015,0.75,6,59,9.666666667,60.33333333,0.243038049,-1.823908741,-0.124938737,0.77815125,1.770852012,0.985276743,1.78055732,5120
Bakersfld,Valley,91.08333333,91,2,3,1.7,0.035,0.4,7,69.5,7,44,0.230448921,-1.455931956,-0.397940009,0.84509804,1.841984805,0.84509804,1.643452676,5120
Bakersfld,Valley,91.16666667,91,3,6,0.85,0.025,0.4,3.166666667,26.16666667,4.5,19,-0.070581074,-1.602059991,-0.397940009,0.500602351,1.417748402,0.653212514,1.278753601,5120
Bakersfld,Valley,91.25,91,4,2,1.8,0.035,0.3,6,45,3,35.5,0.255272505,-1.455931956,-0.522878745,0.77815125,1.653212514,0.477121255,1.550228353,5120
Bakersfld,Valley,91.33333333,91,5,3,2.05,0.055,0.45,5.333333333,41.33333333,3.333333333,32.33333333,0.311753861,-1.259637311,-0.346787486,0.726998728,1.61630043,0.522878745,1.50965048,5120
Bakersfld,Valley,91.41666667,91,6,2,2.05,0.05,0.3,5.5,30,3,15,0.311753861,-1.301029996,-0.522878745,0.740362689,1.477121255,0.477121255,1.176091259,5120
Bakersfld,Valley,91.5,91,7,4,1.6,0.035,0.3,5.666666667,60.66666667,5.333333333,26,0.204119983,-1.455931956,-0.522878745,0.753327667,1.782950133,0.726998728,1.414973348,5120
Bakersfld,Valley,91.58333333,91,8,2,1.05,0.045,0.3,5.5,67.5,6.5,25.5,0.021189299,-1.346787486,-0.522878745,0.740362689,1.829303773,0.812913357,1.40654018,5120
Bakersfld,Valley,91.66666667,91,9,4,2.2,0.066666667,0.366666667,7,65.66666667,6,22.66666667,0.342422681,-1.176091259,-0.43572857,0.84509804,1.817344971,0.77815125,1.355387658,5120
Bakersfld,Valley,91.75,91,10,2,,,,12.5,100,12,33,,,,1.096910013,2,1.079181246,1.51851394,5120
Bakersfld,Valley,91.83333333,91,11,3,,,,11,96.33333333,12.33333333,50.33333333,,,,1.041392685,1.983776588,1.091080469,1.701855693,5120
Bakersfld,Valley,91.91666667,91,12,2,,,,5,37,6.5,23.5,,,,0.698970004,1.568201724,0.812913357,1.371067862,5120
Bakersfld,Valley,92,92,1,4,,,,3.666666667,19.66666667,11.33333333,38,,,,0.56427143,1.293730757,1.054357662,1.579783597,5120
Bakersfld,Valley,92.08333333,92,2,2,,,,2,21.5,2,15,,,,0.301029996,1.33243846,0.301029996,1.176091259,5120
Bakersfld,Valley,92.16666667,92,3,3,,,,2.666666667,27.33333333,2.666666667,13.66666667,,,,0.425968732,1.436692598,0.425968732,1.135662602,5120
Bakersfld,Valley,92.25,92,4,3,,,,2.333333333,29.33333333,2.666666667,8,,,,0.367976785,1.467361417,0.425968732,0.903089987,5120
Bakersfld,Valley,92.33333333,92,5,2,,,,4,30.5,3.5,7,,,,0.602059991,1.484299839,0.544068044,0.84509804,5120
Bakersfld,Valley,92.41666667,92,6,3,,,,6.666666667,45.33333333,3.666666667,12.33333333,,,,0.823908741,1.656417654,0.56427143,1.091080469,5120
Bakersfld,Valley,92.5,92,7,2,,,,5,37.5,4,8.5,,,,0.698970004,1.574031268,0.602059991,0.929418926,5120
Bakersfld,Valley,92.58333333,92,8,3,,,,5.666666667,49,4,18.33333333,,,,0.753327667,1.69019608,0.602059991,1.263241435,5120
Bakersfld,Valley,92.66666667,92,9,2,,,,11.5,83.5,6,45.5,,,,1.06069784,1.921686475,0.77815125,1.658011397,5120
Bakersfld,Valley,92.75,92,10,3,,,,8.333333333,57,6,25.33333333,,,,0.920818754,1.755874856,0.77815125,1.403692338,5120
Bakersfld,Valley,92.83333333,92,11,2,,,,8.5,48,5,22,,,,0.929418926,1.681241237,0.698970004,1.342422681,5120
Bakersfld,Valley,92.91666667,92,12,3,,,,3,25,8,18,,,,0.477121255,1.397940009,0.903089987,1.255272505,5120
Bakersfld,Valley,93,93,1,5,2.62,0,0.46,2,12.66666667,3.666666667,21.66666667,0.418301291,,-0.337242168,0.301029996,1.102662342,0.56427143,1.335792102,5120
Bakersfld,Valley,93.08333333,93,2,4,1.6,0.0125,0.4075,3,18,2,16.5,0.204119983,-1.903089987,-0.389872387,0.477121255,1.255272505,0.301029996,1.217483944,5120
Bakersfld,Valley,93.16666667,93,3,5,1.8,0.014,0.212,4.5,31,3.5,16.5,0.255272505,-1.853871964,-0.673664139,0.653212514,1.491361694,0.544068044,1.217483944,5120
Bakersfld,Valley,93.25,93,4,7,1.5,0.03,0.316666667,4,35,3.333333333,13,0.176091259,-1.522878745,-0.499397649,0.602059991,1.544068044,0.522878745,1.113943352,5120
Bakersfld,Valley,93.33333333,93,5,7,1.242857143,0.045714286,0.265714286,2,21.33333333,2,6,0.094421213,-1.339948062,-0.575585096,0.301029996,1.329058719,0.301029996,0.77815125,5120
Bakersfld,Valley,93.41666667,93,6,7,1.666666667,0.056666667,0.23,7.5,57,5,13,0.22184875,-1.246672333,-0.638272164,0.875061263,1.755874856,0.698970004,1.113943352,5120
Bakersfld,Valley,93.5,93,7,8,1.383333333,0.041666667,0.25,7,48,4.75,16,0.140926842,-1.380211242,-0.602059991,0.84509804,1.681241237,0.67669361,1.204119983,5120
Bakersfld,Valley,93.58333333,93,8,10,1.5125,0.065,0.225,6.6,49.8,4.6,13.2,0.179695383,-1.187086643,-0.647817482,0.819543936,1.697229343,0.662757832,1.120573931,5120
Bakersfld,Valley,93.66666667,93,9,8,2.514285714,0.082857143,0.331428571,7.666666667,53.33333333,6.333333333,15,0.400414628,-1.081670046,-0.479610055,0.884606581,1.726998728,0.801632346,1.176091259,5120
Bakersfld,Valley,93.75,93,10,6,3.183333333,0.063333333,0.391666667,9.5,83.5,9,26,0.502882117,-1.198367654,-0.407083388,0.977723605,1.921686475,0.954242509,1.414973348,5120
Bakersfld,Valley,93.83333333,93,11,6,3.28,0.072,0.848,11.5,88.5,7.5,36.33333333,0.515873844,-1.142667504,-0.071604148,1.06069784,1.946943271,0.875061263,1.560305243,5120
Bakersfld,Valley,93.91666667,93,12,7,3.142857143,0.021428571,0.681428571,4.333333333,34.66666667,6.333333333,20.33333333,0.497324641,-1.669006781,-0.166579661,0.636822098,1.539912085,0.801632346,1.30820858,5120
Bakersfld,Valley,94,94,1,8,5.916666667,,0.911666667,2.5,14.25,6.5,19.25,0.772077103,,-0.040163924,0.397940009,1.153814864,0.812913357,1.284430734,5120
Bakersfld,Valley,94.08333333,94,2,5,3.6,,0.36,2,22.5,2,6.5,0.556302501,,-0.443697499,0.301029996,1.352182518,0.301029996,0.812913357,5120
Bakersfld,Valley,94.16666667,94,3,5,2.28,,0.266,4.666666667,33.33333333,5.333333333,19.33333333,0.357934847,,-0.575118363,0.669006781,1.522878745,0.726998728,1.286306739,5120
Bakersfld,Valley,94.25,94,4,2,1.2,,0.38,5,38,4,150,0.079181246,,-0.420216403,0.698970004,1.579783597,0.602059991,2.176091259,5120
ChulaVista,SanDiego,85,85,1,1,,,,0.5,3,1,127,,,,-0.301029996,0.477121255,0,2.103803721,1536
ChulaVista,SanDiego,85.08333333,85,2,2,,,,4,14,3,164,,,,0.602059991,1.146128036,0.477121255,2.214843848,1536
ChulaVista,SanDiego,85.16666667,85,3,3,,,,1.333333333,10,1.166666667,151.6666667,,,,0.124938737,1,0.06694679,2.180890142,1536
ChulaVista,SanDiego,85.25,85,4,7,0.56,0.004,0.56,2,7.5,1.5,94,-0.251811973,-2.397940009,-0.251811973,0.301029996,0.875061263,0.176091259,1.973127854,1536
ChulaVista,SanDiego,85.33333333,85,5,9,0.366666667,0.003333333,0.283333333,4,14.66666667,5,83.66666667,-0.43572857,-2.477121255,-0.547702329,0.602059991,1.166331422,0.698970004,1.922552467,1536
ChulaVista,SanDiego,85.41666667,85,6,5,0.5,0,0.25,3.333333333,21,4.666666667,130,-0.301029996,,-0.602059991,0.522878745,1.322219295,0.669006781,2.113943352,1536
ChulaVista,SanDiego,85.5,85,7,2,,,,2.5,13.5,4.5,82,,,,0.397940009,1.130333768,0.653212514,1.913813852,1536
ChulaVista,SanDiego,85.58333333,85,8,2,,,,3,13.5,2.5,85,,,,0.477121255,1.130333768,0.397940009,1.929418926,1536
ChulaVista,SanDiego,85.66666667,85,9,2,,,,1,5.5,2,41,,,,0,0.740362689,0.301029996,1.612783857,1536
ChulaVista,SanDiego,85.75,85,10,1,,,,2,20,3,85,,,,0.301029996,1.301029996,0.477121255,1.929418926,1536
ChulaVista,SanDiego,85.83333333,85,11,2,,,,2,18,4,129.5,,,,0.301029996,1.255272505,0.602059991,2.112269768,1536
ChulaVista,SanDiego,85.91666667,85,12,3,,,,2.666666667,21,3,151.6666667,,,,0.425968732,1.322219295,0.477121255,2.180890142,1536
ChulaVista,SanDiego,86,86,1,2,,,,2,19.5,1,148.5,,,,0.301029996,1.290034611,0,2.171726454,1536
ChulaVista,SanDiego,86.08333333,86,2,2,,,,2.5,17,13.5,215,,,,0.397940009,1.230448921,1.130333768,2.33243846,1536
ChulaVista,SanDiego,86.16666667,86,3,3,,,,2,11.66666667,2.666666667,69,,,,0.301029996,1.06694679,0.425968732,1.838849091,1536
ChulaVista,SanDiego,86.25,86,4,2,,,,6,12,4.5,61,,,,0.77815125,1.079181246,0.653212514,1.785329835,1536
ChulaVista,SanDiego,86.33333333,86,5,3,,,,1.666666667,10,5,36.33333333,,,,0.22184875,1,0.698970004,1.560305243,1536
ChulaVista,SanDiego,86.41666667,86,6,3,,,,2,11.33333333,4,52.66666667,,,,0.301029996,1.054357662,0.602059991,1.721535832,1536
ChulaVista,SanDiego,86.5,86,7,2,,,,1.5,7.5,3.5,37.5,,,,0.176091259,0.875061263,0.544068044,1.574031268,1536
ChulaVista,SanDiego,86.58333333,86,8,3,,,,3.333333333,15.66666667,6.666666667,79,,,,0.522878745,1.194976603,0.823908741,1.897627091,1536
ChulaVista,SanDiego,86.66666667,86,9,3,,,,2.333333333,8.666666667,4.333333333,86,,,,0.367976785,0.937852093,0.636822098,1.934498451,1536
ChulaVista,SanDiego,86.75,86,10,2,,,,6.5,32,8,256,,,,0.812913357,1.505149978,0.903089987,2.408239965,1536
ChulaVista,SanDiego,86.83333333,86,11,2,,,,3.5,32,9,184.5,,,,0.544068044,1.505149978,0.954242509,2.26599637,1536
ChulaVista,SanDiego,86.91666667,86,12,3,,,,5,24,4.333333333,159.6666667,,,,0.698970004,1.380211242,0.636822098,2.203214259,1536
ChulaVista,SanDiego,87,87,1,6,0.84,0,0.72,1,9,2,85,-0.075720714,,-0.142667504,0,0.954242509,0.301029996,1.929418926,1536
ChulaVista,SanDiego,87.08333333,87,2,8,0.82,0,0.4,2.5,12.75,3.25,98.5,-0.086186148,,-0.397940009,0.397940009,1.105510185,0.511883361,1.99343623,1536
ChulaVista,SanDiego,87.16666667,87,3,7,0.5,0,0.3,2.666666667,11.66666667,3.333333333,96.33333333,-0.301029996,,-0.522878745,0.425968732,1.06694679,0.522878745,1.983776588,1536
ChulaVista,SanDiego,87.25,87,4,7,0.5,0.004,0.4,5.5,19.5,3.5,114.5,-0.301029996,-2.397940009,-0.397940009,0.740362689,1.290034611,0.544068044,2.058805487,1536
ChulaVista,SanDiego,87.33333333,87,5,7,0.44,0,0.28,2.333333333,8.333333333,7,40.66666667,-0.356547324,,-0.552841969,0.367976785,0.920818754,0.84509804,1.609238576,1536
ChulaVista,SanDiego,87.41666667,87,6,9,0.42,0,0.4,1.75,10,5.25,28,-0.37675071,,-0.397940009,0.243038049,1,0.720159303,1.447158031,1536
ChulaVista,SanDiego,87.5,87,7,1,,,,0.5,6,6,20,,,,-0.301029996,0.77815125,0.77815125,1.301029996,1536
ChulaVista,SanDiego,87.58333333,87,8,2,,,,2,14.5,2,35,,,,0.301029996,1.161368002,0.301029996,1.544068044,1536
ChulaVista,SanDiego,87.66666667,87,9,3,,,,3,11,5.666666667,49.66666667,,,,0.477121255,1.041392685,0.753327667,1.696065014,1536
ChulaVista,SanDiego,87.75,87,10,3,,,,2.666666667,15.33333333,3.333333333,143.6666667,,,,0.425968732,1.185636577,0.522878745,2.157356015,1536
ChulaVista,SanDiego,87.83333333,87,11,2,,,,2,23.5,4.5,159.5,,,,0.301029996,1.371067862,0.653212514,2.202760687,1536
ChulaVista,SanDiego,87.91666667,87,12,1,,,,8,22,3,113,,,,0.903089987,1.342422681,0.477121255,2.053078443,1536
ChulaVista,SanDiego,88,88,1,3,,,,1.833333333,20.66666667,3.666666667,114.6666667,,,,0.263241435,1.315270435,0.56427143,2.059437188,1536
ChulaVista,SanDiego,88.08333333,88,2,5,,,,2.8,33.2,3.4,110.6,,,,0.447158031,1.521138084,0.531478917,2.043755127,1536
ChulaVista,SanDiego,88.16666667,88,3,3,1.1,0.01,0.75,1.5,21.33333333,3.333333333,53,0.041392685,-2,-0.124938737,0.176091259,1.329058719,0.522878745,1.72427587,1536
ChulaVista,SanDiego,88.25,88,4,5,0.6,0,0.45,3,12,3.625,32.5,-0.22184875,,-0.346787486,0.477121255,1.079181246,0.559308011,1.511883361,1536
ChulaVista,SanDiego,88.33333333,88,5,4,0.2,0,0.4,1.333333333,11.66666667,6.666666667,24.33333333,-0.698970004,,-0.397940009,0.124938737,1.06694679,0.823908741,1.386201605,1536
ChulaVista,SanDiego,88.41666667,88,6,6,0.2,0,0.4,1.8,13.8,2.8,23.6,-0.698970004,,-0.397940009,0.255272505,1.139879086,0.447158031,1.372912003,1536
ChulaVista,SanDiego,88.5,88,7,4,0.2,0,0.2,2,12.33333333,3.666666667,22,-0.698970004,,-0.698970004,0.301029996,1.091080469,0.56427143,1.342422681,1536
ChulaVista,SanDiego,88.58333333,88,8,6,0.2,0,0.3,1.833333333,13.16666667,3.333333333,17.83333333,-0.698970004,,-0.522878745,0.263241435,1.119475841,0.522878745,1.251232527,1536
ChulaVista,SanDiego,88.66666667,88,9,6,0.4,0,0.2,2.4,21,4.2,26,-0.397940009,,-0.698970004,0.380211242,1.322219295,0.62324929,1.414973348,1536
ChulaVista,SanDiego,88.75,88,10,6,0.5,0,0.4,2,15.8,5.4,34,-0.301029996,,-0.397940009,0.301029996,1.198657087,0.73239376,1.531478917,1536
ChulaVista,SanDiego,88.83333333,88,11,6,0.6,0,0.4,1.2,9.6,4.4,44.4,-0.22184875,,-0.397940009,0.079181246,0.982271233,0.643452676,1.64738297,1536
