Sample_ID,Island,Latitude_degrees_N,Longitude_degrees_E,Rock_name,Al2O3_percent,Cr_ppm,Rb_ppm
s_646-1 [12578],CANARY ISLANDS / LA PALMA,28.3,-17.76,BASALT [12578],16.25,105,11
s_93-394 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.5,70.5,"BASALT, ALKALINE [5174]",13.9,105,31.5
s_U11 F [6967],SAMOAN ISLANDS / UPOLU / FAGALOA SERIES,-13.85,-171.69,BASALT [6967],15.2,105,32.3
s_SU4 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],14.44,106,2.3
s_NK79 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140,BASANITE [7516],16.2,106,80
s_NER-81 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],14.61,106.53,27.54
s_93-376 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.5,70.5,"BASALT, TRANSITIONAL [5174]",14.29,107,14.3
T64,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,basalt,13.24,107,41
s_I1602 [12148],ICELAND / ICELAND,65.16,-13.65,NOT GIVEN [12148],17.75,108,6.11
s_IB2105 [12148],ICELAND / ICELAND,64.94,-15.29,NOT GIVEN [12148],14.6,108,6.91
s_93-463 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.5,BASALT [10516],15.71,108,8.47
s_I1506 [12148],ICELAND / ICELAND,65.02,-13.71,NOT GIVEN [12148],14.06,108,10.1
s_H90 [9565],ICELAND / ICELAND / LYSUSKARD,64.84,-23.28,"BASALT, ALKALINE [9565]",15.66,108,18.1
s_130 [216] / s_KAH 130 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,HAWAIITE [216],15.74,108,20
s_B2 [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28,-15.6,BASALT [856],13.81,108,27.9
s_PIT-12 [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [19601] / BASALT [757]",15.14,108,34.5
s_I1604 [12148],ICELAND / ICELAND,65.16,-13.65,NOT GIVEN [12148],15.98,109,6.6
s_I2118 [12148],ICELAND / ICELAND,65.18,-14.65,NOT GIVEN [12148],13.4,109,9.4
s_HK-17 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.71,-156.21,BASANITE [20654],16.38,109,38
s_I2207 [12148],ICELAND / ICELAND,65.16,-14.14,NOT GIVEN [12148],13.08,110,1.41
s_H84 [9565],ICELAND / ICELAND / SEYDISHOLAR,63.87,-22.51,"THOLEIITE, QUARTZ [9565]",13.64,110,4.7
s_302 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.15,-23.7,BASANITE [13086],14.45,110,19
"s_121-757C-11R-2,10-14 [998] / s_121-757C-11R-2,10-14 (F12) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757,-17.023,88.03,BASALT [998],20.32,110,19
s_LP47 [9586],CANARY ISLANDS / LA PALMA,28.73,-17.8,BASALT [9586],15.12,110,38
s_456723 [13015],ICELAND / ICELAND / AFSTAPARHRAUN FLOW,63.87,-22.05,NOT GIVEN [13015],14.15,111,2.9
s_AZ05-AJ [19003],AZORES / SAO JORGE,38.68,-28.2,NOT GIVEN [19003],16.37,111,27
s_SAL 51 [23391],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DES NEIGES,-21.05,55.5,"BASALT, OLIVINE [23391]",13.6,111.47,49.29
s_T23 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.22,-169.46,BASALT [6967],13.44,112,16.4
s_F-06 [7508],CAPE VERDE ISLANDS / FOGO,14.92,-24.34,NOT GIVEN [7508],14.99,112,54.1
s_IB2103 [12148],ICELAND / ICELAND,64.91,-15.29,NOT GIVEN [12148],16.02,113,2.01
s_SU17 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],15.72,114,2.7
"s_121-757C-11R-2,51-56 [998] / s_121-757C-11R-2,51-56 (F13) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757,-17.023,88.03,BASALT [998],19.6,114,19.9
s_T319-R8 [19774],HAWAIIAN ISLANDS / NIIHAU / KIEKIE BASALT / REJUVENATED STAGE,22,-160,NOT GIVEN [19774],15.37,114,38.7
s_MT08 [16348],MARQUESAS / MOTANE / SHIELD STAGE,-9.96,-138.83,"THOLEIITE, OLIVINE [16348] / THOLEIITE [24718]",14.86,114.46,27.98
s_T327-R1 [13316],HAWAIIAN ISLANDS / OAHU / WAIANAE,21.92,-158.26,THOLEIITE [13316],14.46,115,10.2
s_MU-16 [40],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20,-155.25,"BASALT, ALKALINE [40]",14.91,115,12.4
s_P10K [1624],MARQUESAS / NUKU HIVA / TEKAO / SHIELD STAGE,-8.93,-140,THOLEIITE [1624],14.29,115,16
s_FL-09-59 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.41,-31.16,TEPHRITE [16341] / NOT GIVEN [19965],15.8,115.74,32.28
s_MA-120 [3348],MADEIRA ARCHIPELAGO / MADEIRA,32.76,-16.81,THOLEIITE [3348],14.79,116,0.6
"s_121-758A-59R-2,58-62 [998] / s_121-758A-59R-2,58-62 (F2) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758,5.384,90.361,BASALT [998],14.14,116,2.2
s_G44* [778],PITCAIRN-GAMBIER CHAIN / AUKENA,-23.14,-134.55,BASALT [778],15.15,116,8.06
G120,Gough,-40.32,-9.93,Tephrite,15.3,116.97,58
s_H79 [9565],ICELAND / ICELAND / WESTERN ICELAND RIFT ZONE,63.86,-22.12,"THOLEIITE, QUARTZ [9565]",14.25,117,3.3
s_24-4 [1182],MARQUESAS / UA POU,-9.42,-140,BASANITE [1182],15.12,117,85
s_I1306 [12148],ICELAND / ICELAND,64.64,-14.49,NOT GIVEN [12148],14.95,118,2.16
s_OW-198 [14135],HAWAIIAN ISLANDS / OAHU / WAIANAE / SHIELD STAGE / KAMEILE^UNU MEMBER,21.58,-158.21,"BASALT, ALKALINE [14135] / NOT GIVEN [18767]",15.82,118,17
s_TH08 [16348] / s_TH8-TE27 [24718],MARQUESAS / TAHUATA / HANATETENA / POST-SHIELD STAGE,-9.96,-139.08,HAWAIITE [16348],14.95,118.2,51.56
s_KRAFLA 1 [17670],ICELAND / ICELAND / KRAFLA,65.72,-16.79,BASALT [17670],13.36,119,6.7
s_84-10 [4796],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,THOLEIITE [4796],14.36,119,9
s_LGV06 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],15.04,119,20.1
s_KRAFLA 2 [17670],ICELAND / ICELAND / KRAFLA,65.72,-16.79,BASALT [17670],13.35,120,6.6
s_K208-12 [9013],HAWAIIAN ISLANDS / HAWAII / KILAUEA,19.15,-155.11,"BASALT, TRANSITIONAL [9013] / NOT GIVEN [9021]",14,120,12.21
s_D53C [11695],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,1.19,-91.12,BASALT [11695],13.32,120,13
s_GRZF14 [18928],AZORES / GRACIOSA / VULCAO CENTRAL,39.05,-28.05,NOT GIVEN [18928],16.65,120,27
s_I2107 [12148],ICELAND / ICELAND,64.94,-15.31,NOT GIVEN [12148],13.75,121,4.5
G102,Gough,-40.32,-9.93,Basanite,14.75,121.47,71
s_H131 [9565],ICELAND / ICELAND / KRAFLA,65.66,-16.74,"THOLEIITE, QUARTZ [9565]",13.34,122,6.7
s_LGV01 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],14.52,122,13
s_CIS299 [12969],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.83,-23.92,"BASALT, ALKALINE [12969]",15.88,122,18.9
T122,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol-cpx lava,13.4,122,37
s_AZP-03-47 [16224],AZORES / PICO,38.52,-28.32,"BASALT, ALKALINE [16224]",16.25,122.06,33.58
RA24,Rapa,-27.63,-144.34,,14.43,122.74,38.92
s_M1ACIDWASHED [1199] / s_MG-1 [17353],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",14.41,123,16.7
s_408673 [13015],ICELAND / ICELAND / SVARTSENGI / ELDVARPARHRAUN FLOW,63.83,-22.4,NOT GIVEN [13015],13.41,124,4.3
s_K208-8 [9014],HAWAIIAN ISLANDS / HAWAII / KILAUEA,19.15,-155.11,"BASALT [9014] / NOT GIVEN [9021] / BASALT, ALKALINE [9012]",14.5,124,11.61
s_85-12 [999],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"BASALT, TRANSITIONAL [999]",16.47,124,12
s_NV9 [726],CAPE VERDE ISLANDS / MAIO,15.15,-23.2,"BASALT, ALKALINE [726]",15.43,124,31
s_14-19 [2038] / s_AII-93-14-19 [1253],WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / DREDGE AII-93-14,-31.99,2.39,BASALT [2038] / MUGEARITE [16977],16.91,124,37.7
s_H16 [9565],ICELAND / ICELAND / EASTERN ICELAND RIFT ZONE,65.87,-17.43,"THOLEIITE, OLIVINE [9565]",14.91,125,3
s_I2206 [12148],ICELAND / ICELAND,65.17,-14.12,NOT GIVEN [12148],13.7,125,8.61
s_K208-10 [9013],HAWAIIAN ISLANDS / HAWAII / KILAUEA,19.15,-155.11,"BASALT, TRANSITIONAL [9013]",14.22,125,9.44
s_27861 [520],TRISTAN DA CUNHA GROUP / INACCESSIBLE,-37.32,-12.73,"BASALT, ALKALINE [520]",16.01,125,48
s_P-14-3 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13,125.98,30.12
s_WA04 [7196],HAWAIIAN ISLANDS / MAUI / WEST MAUI / SHIELD STAGE / WAILUKU SERIES,21.02,-156.61,THOLEIITE [7196],13.6,126,2.15
s_93-465 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.5,BASALT [10516],16.2,126,9.85
s_I1607 [12148],ICELAND / ICELAND,65.15,-13.65,NOT GIVEN [12148],15.83,126,13.6
T129,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,13.65,127,54
s_B18-8 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.2072,57.56,NOT GIVEN [15682],16.24,127.8,10.4
s_H88 [9565],ICELAND / ICELAND / HENGILL (MAELIFELL-MIDFELL) FISSURE SWARMS,64.02,-21.41,"THOLEIITE, QUARTZ [9565]",14.52,128,3.7
s_E9720 [6186] / s_E97-20 [6186],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ECUADOR / POST-COLLAPSE INTRACALDERA,-0.02,-91.55,BASALT [6186],15.35,128,14.31
s_456746 [13015],ICELAND / ICELAND / KAPELLUHRAUN FLOW,63.87,-22.05,NOT GIVEN [13015],14.25,128.29,2.02
s_D14 A [13694] / s_DRFT04-D14-A [24087],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.17,-91.7,BASALT [13694],14.56,129,10.5
s_298-07 [19624],HAWAIIAN ISLANDS / KAUAI / SOUTH KAUAI SWELL / SHIELD STAGE,21.08,-159.36,THOLEIITE [19624],13.51,129,11.2
s_RP06 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.6,BASALT [1230],15.1,129,20.5
s_114531 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],15.12,129,37
s_F-01 [7508],CAPE VERDE ISLANDS / FOGO / PRE-CALDERA STAGE,14.9,-24.5,NOT GIVEN [7508],12.71,129,44.1
T497,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,14.01,129,53
s_W95-59 [10282],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0,-91.01,BASALT [10282],15.27,130,5
s_AZP-03-10 [16224] / s_AZP 03-10 [21396],AZORES / PICO,38.47,-28.47,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",17.15,130.75,14.07
s_309 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.15,-23.69,BASANITE [13086],13.69,131,23
s_H11 [9565],ICELAND / ICELAND,64.12,-21.95,"THOLEIITE, OLIVINE [9565]",14.4,132,3.5
s_SKV98-101 [10282],GALAPAGOS ISLANDS / MARCHENA (BINDLOE),-0.36,-90.54,BASALT [10282],14.42,132,5.16
s_21 [1260],AMSTERDAM-ST. PAUL / ST. PAUL ISLAND,-38.75,77.5,"BASALT, OLIVINE [1260] / BASALT [1659]",18.3,132,10.3
s_244 DS-1 [12941],AZORES / GRACIOSA,39.17,-28.3,BASALT [12941],14.6,132,22.3
s_RP09 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.6,BASALT [1230],15.28,132,23
s_313 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.69,BASANITE [13086],14.73,132,33
s_SM30 [651],AZORES / SAO MIGUEL,37.8,-25.5,"BASALT, ALKALINE [651]",14,132,43
s_ALR39T [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.3,"BASANITE, ANKARAMITIC [521]",13.97,132,45
s_KRAFLA 3 [17670],ICELAND / ICELAND / KRAFLA,65.65,-16.94,BASALT [17670],13.57,133,6.8
s_A5 [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28,-15.6,BASALT [856],14.06,133,27.1
s_TDC88 [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.3,"BASANITE, ANKARAMITIC [521]",13.99,133,42.26
s_SMB-4 [697],AZORES / SAO MIGUEL / AGUA DE PAO / FOGO A ERUPTION,37.8,-25.5,"BASALT, ALKALINE [697]",15.5,134,49.7
s_SM0129 [10567],AZORES / SAO MIGUEL / NORDESTE,37.85,-25.22,BASALT [10567],14.52,134.35,78.27
s_NA51 [651],CAPE VERDE ISLANDS / SAO ANTAO,17,-25,BASALT [651] / NEPHELINITE [726],12.97,135,30
s_114883 [14545],CAPE VERDE ISLANDS / SANTIAGO / COMPLEXO ANTIGO,15,-23.7,NOT GIVEN [14545],14.18,135,43
s_216 [481],ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / SHIELD STAGE,-15.95,-5.7,"BASALT, ALKALINE [481]",15.59,136,1
s_I338 [18177],ICELAND / ICELAND / BARDARBUNGA/VEIDIV÷TN / EASTERN ICELAND RIFT ZONE,64.19,-18.95,BASALT [18177],13.61,136,5.5
s_KRAFLA 4 [17670],ICELAND / ICELAND / KRAFLA,65.65,-16.94,BASALT [17670],13.54,136,6.5
s_TLP 38-1 [19949],CANARY ISLANDS / LA PALMA,28.5,-18,BASANITE [19949],15.23,136,57
RTG110,Rarotonga,-21.25,-159.75,,14.43,136.47,45.22
s_93-381 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.5,70.5,"BASALT, TRANSITIONAL [5174]",14.29,137,2.2
s_CA-44 [5038],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.87,-91.35,THOLEIITE [5038] / BASALT [4580],15.54,137,10.81
s_312 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.69,BASANITE [13086],14.65,137,35
s_AN8 [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASALT [1240],15.41,137,35.4
s_H32 [9565],ICELAND / ICELAND / SNAEFƒLL,64.74,-20.84,"THOLEIITE, OLIVINE [9565]",16.27,138,1.8
T60,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ankaramite,10.5,138,23
s_110029 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17,-25,NEPHELINITE [8504],12.76,138,51
G132,Gough,-40.32,-9.93,Trachybasalt,14.16,138.88,42
s_I2101 [12148],ICELAND / ICELAND,64.88,-15.38,NOT GIVEN [12148],14.29,139,2.68
s_117G [811],AUSTRAL-COOK ISLANDS / RURUTU / OLD TUBUAI-TREND LAVAS,-22.42,-151.33,BASALT [811],14.58,139,5
s_SUC15 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],14.23,139,5.4
"s_121-756D-4R-1,35-39 [998] / s_121-756D-4R-1,35-39 (F1) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756,-27.355,87.597,BASALT [998],15.51,139,10
s_02AMK-13 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.91,-155.71,BASALT [14053],15.11,139,13.6
s_A3 [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28,-15.6,BASALT [856],13.03,139,23.6
s_4S [16348],MARQUESAS / HIVA OA / TAAOA / SHIELD STAGE,-9.86,-139.06,"THOLEIITE, OLIVINE [16348]",14.4,140,25
s_FL-09-38 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.43,-31.25,TRACHYBASALT [16341] / NOT GIVEN [19965],16.3,140.64,34.38
s_W95-25 [10282],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0,-91.01,BASALT [10282],16.65,141,4.8
"s_121-757C-10R-3,2-6 [998] / s_121-757C-10R-3,2-6 (F8) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757,-17.023,88.03,BASALT [998],23.61,141,17.1
s_PIT-7 [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [19601] / BASALT [757]",15.28,141,29.4
s_MA-16 [3348],MADEIRA ARCHIPELAGO / MADEIRA / LATE RIFT PHASE,32.75,-17.03,HAWAIITE [3348],16.09,141,32.4
s_NF34 [726],CAPE VERDE ISLANDS / FOGO,14.9,-24.35,BASANITE [726] / BASALT [651],13.7,141,46
"s_121-757C-9R-5,34-38 [998] / s_121-757C-9R-5,34-38 (F4) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757,-17.023,88.03,BASALT [998],23.94,142,11
s_P-16-2 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.08,142.04,34.06
s_408666 [13015],ICELAND / ICELAND / ÷GMUNDARHRAUN FLOW,63.87,-22.05,NOT GIVEN [13015],14.23,143,3.2
s_NSK97-216 [10282],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.39,-91.55,BASALT [10282],15.05,143,9.67
s_OW-99 [14135],HAWAIIAN ISLANDS / OAHU / WAIANAE / SHIELD STAGE / KAMEILE^UNU MEMBER,21.47,-158.17,"BASALT, TRANSITIONAL [14135] / NOT GIVEN [18767]",14.63,143,10
s_BM64878 [1001],KERGUELEN / KERGUELEN ARCHIPELAGO / SHIELD STAGE,-49,69,"BASALT, ALKALINE [1001]",14.6,143,14
s_P3 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [756]",15.33,143,38
s_P-1-2 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.05,143.2,33.3
s_P-15-3 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.07,143.62,33.22
